,Accession,Pangolin,Geo_Location,Collection_Date
5165,MZ020420,P.1,Bangladesh,2021-02-18
3963,MZ169910,P.1,Brazil,2021-02-07
3964,MZ169911,P.1,Brazil,2021-02-19
740,MZ397163,P.1,Brazil,2021-03-15
741,MZ397164,P.1,Brazil,2021-03-30
742,MZ397166,P.1,Brazil,2021-04-27
743,MZ397167,P.1,Brazil,2021-04-27
2777,MZ264787,P.1,"Brazil: Amazonas, Manaus",2020-12-21
5673,MW642248,P.1,Italy,2021-01-18
5674,MW642250,P.1,Italy,2021-01-18
5534,MW938104,P.1,Peru,2021-02-22
2095,MZ277386,P.1,Taiwan,2021-01-28
2096,MZ277387,P.1,Taiwan,2021-01-28
2097,MZ277388,P.1,Taiwan,2021-01-28
2098,MZ277389,P.1,Taiwan,2021-01-28
3056,MZ245610,P.1,USA,2021-02-24
795,MZ385553,P.1,USA,2021-03-08
5624,MW894020,P.1,USA,2021-03-12
5625,MW894021,P.1,USA,2021-03-13
5626,MW894034,P.1,USA,2021-03-15
5629,MW894125,P.1,USA,2021-03-17
5628,MW894072,P.1,USA,2021-03-18
18,MZ490342,P.1,USA,2021-03-20
5627,MW894068,P.1,USA,2021-03-20
5606,MW908127,P.1,USA,2021-03-22
5605,MW908122,P.1,USA,2021-03-26
4802,MZ055397,P.1,USA,2021-03-27
5644,MW872690,P.1,USA,2021-03-27
4801,MZ055396,P.1,USA,2021-03-29
4803,MZ055399,P.1,USA,2021-03-29
4945,MZ044634,P.1,USA,2021-03-30
4943,MZ044593,P.1,USA,2021-03-31
5607,MW908214,P.1,USA,2021-03-31
4944,MZ044613,P.1,USA,2021-04-01
3892,MZ189609,P.1,USA,2021-04-02
1222,MZ363663,P.1,USA,2021-04-07
3890,MZ189090,P.1,USA,2021-04-07
3891,MZ189534,P.1,USA,2021-04-07
3966,MZ170142,P.1,USA,2021-04-12
4947,MZ028492,P.1,USA,2021-04-12
4948,MZ028494,P.1,USA,2021-04-12
1339,MZ351745,P.1,USA,2021-04-13
3965,MZ170138,P.1,USA,2021-04-13
5306,MW987799,P.1,USA,2021-04-15
1028,MZ376774,P.1,USA,2021-04-18
732,MZ405363,P.1,USA,2021-04-20
3967,MZ170211,P.1,USA,2021-04-20
3968,MZ170252,P.1,USA,2021-04-20
3972,MZ170297,P.1,USA,2021-04-21
3971,MZ170291,P.1,USA,2021-04-22
3975,MZ170360,P.1,USA,2021-04-22
731,MZ405321,P.1,USA,2021-04-23
3969,MZ170263,P.1,USA,2021-04-23
3970,MZ170265,P.1,USA,2021-04-24
3973,MZ170354,P.1,USA,2021-04-26
730,MZ405276,P.1,USA,2021-04-27
3974,MZ170359,P.1,USA,2021-04-27
879,MZ388003,P.1,USA,2021-04-28
1547,MZ345911,P.1,USA,2021-04-28
3246,MZ224462,P.1,USA,2021-04-28
3976,MZ170361,P.1,USA,2021-04-28
435,MZ433983,P.1,USA,2021-04-29
4203,MZ144296,P.1,USA,2021-04-29
722,MZ404750,P.1,USA,2021-04-30
726,MZ404799,P.1,USA,2021-04-30
727,MZ404801,P.1,USA,2021-05-01
1891,MZ303932,P.1,USA,2021-05-01
2782,MZ264922,P.1,USA,2021-05-01
723,MZ404757,P.1,USA,2021-05-02
724,MZ404778,P.1,USA,2021-05-03
725,MZ404780,P.1,USA,2021-05-03
167,MZ472052,P.1,USA,2021-05-04
728,MZ404871,P.1,USA,2021-05-04
733,MZ405463,P.1,USA,2021-05-04
1892,MZ303960,P.1,USA,2021-05-04
2783,MZ264981,P.1,USA,2021-05-04
560,MZ414841,P.1,USA,2021-05-05
721,MZ404499,P.1,USA,2021-05-05
734,MZ405492,P.1,USA,2021-05-05
735,MZ405502,P.1,USA,2021-05-05
736,MZ405503,P.1,USA,2021-05-05
737,MZ405524,P.1,USA,2021-05-05
2779,MZ264898,P.1,USA,2021-05-05
2780,MZ264899,P.1,USA,2021-05-05
738,MZ405566,P.1,USA,2021-05-06
739,MZ405586,P.1,USA,2021-05-06
1029,MZ366624,P.1,USA,2021-05-06
2778,MZ264892,P.1,USA,2021-05-06
561,MZ414869,P.1,USA,2021-05-07
570,MZ415004,P.1,USA,2021-05-07
1219,MZ362905,P.1,USA,2021-05-07
562,MZ414883,P.1,USA,2021-05-08
563,MZ414897,P.1,USA,2021-05-08
564,MZ414924,P.1,USA,2021-05-08
569,MZ414987,P.1,USA,2021-05-08
1037,MZ367670,P.1,USA,2021-05-08
1218,MZ362900,P.1,USA,2021-05-08
2781,MZ264908,P.1,USA,2021-05-08
565,MZ414934,P.1,USA,2021-05-10
566,MZ414939,P.1,USA,2021-05-10
567,MZ414942,P.1,USA,2021-05-10
568,MZ414985,P.1,USA,2021-05-10
1300,MZ357242,P.1,USA,2021-05-11
2784,MZ264990,P.1,USA,2021-05-11
187,MZ462772,P.1,USA,2021-05-12
1033,MZ367649,P.1,USA,2021-05-12
1040,MZ367680,P.1,USA,2021-05-12
2785,MZ264997,P.1,USA,2021-05-12
779,MZ382919,P.1,USA,2021-05-13
780,MZ382921,P.1,USA,2021-05-13
781,MZ382933,P.1,USA,2021-05-13
1031,MZ367627,P.1,USA,2021-05-13
1220,MZ363039,P.1,USA,2021-05-13
778,MZ382555,P.1,USA,2021-05-14
1038,MZ367672,P.1,USA,2021-05-14
1565,MZ334418,P.1,USA,2021-05-14
1035,MZ367661,P.1,USA,2021-05-15
185,MZ462718,P.1,USA,2021-05-16
1034,MZ367653,P.1,USA,2021-05-16
1564,MZ334414,P.1,USA,2021-05-16
182,MZ462498,P.1,USA,2021-05-17
186,MZ462740,P.1,USA,2021-05-17
782,MZ382967,P.1,USA,2021-05-17
1030,MZ366702,P.1,USA,2021-05-17
1221,MZ363645,P.1,USA,2021-05-17
571,MZ415046,P.1,USA,2021-05-18
572,MZ415057,P.1,USA,2021-05-18
574,MZ415069,P.1,USA,2021-05-18
573,MZ415059,P.1,USA,2021-05-19
759,MZ392042,P.1,USA,2021-05-19
783,MZ383031,P.1,USA,2021-05-19
784,MZ383034,P.1,USA,2021-05-19
785,MZ383043,P.1,USA,2021-05-19
1036,MZ367662,P.1,USA,2021-05-19
172,MZ475522,P.1,USA,2021-05-20
878,MZ388002,P.1,USA,2021-05-20
786,MZ383079,P.1,USA,2021-05-21
787,MZ383088,P.1,USA,2021-05-21
1039,MZ367674,P.1,USA,2021-05-21
302,MZ448460,P.1,USA,2021-05-23
1032,MZ367628,P.1,USA,2021-05-23
760,MZ392094,P.1,USA,2021-05-24
761,MZ392099,P.1,USA,2021-05-24
767,MZ392176,P.1,USA,2021-05-24
580,MZ415331,P.1,USA,2021-05-25
762,MZ392151,P.1,USA,2021-05-25
763,MZ392152,P.1,USA,2021-05-25
183,MZ462507,P.1,USA,2021-05-26
764,MZ392155,P.1,USA,2021-05-26
181,MZ462478,P.1,USA,2021-05-27
765,MZ392165,P.1,USA,2021-05-28
766,MZ392167,P.1,USA,2021-05-28
768,MZ392181,P.1,USA,2021-05-28
184,MZ462633,P.1,USA,2021-05-29
769,MZ392189,P.1,USA,2021-05-31
173,MZ475823,P.1,USA,2021-06-01
300,MZ447820,P.1,USA,2021-06-01
301,MZ447830,P.1,USA,2021-06-03
896,MZ388490,P.1,USA,2021-06-04
581,MZ415347,P.1,USA,2021-06-06
375,MZ451703,P.1,USA: AK,2021-05-17
2143,MZ278462,P.1,USA: AL,2021-04-27
2144,MZ278463,P.1,USA: AL,2021-04-27
2145,MZ278464,P.1,USA: AL,2021-04-29
1613,MZ331110,P.1,USA: AL,2021-05-13
4136,MZ164626,P.1,USA: AR,2021-04-19
4137,MZ164631,P.1,USA: AR,2021-04-19
1307,MZ358508,P.1,USA: AR,2021-05-18
15,MZ504272,P.1,"USA: AZ, Maricopa",2021-05-03
17,MZ504278,P.1,"USA: AZ, Maricopa",2021-05-03
175,MZ462297,P.1,"USA: AZ, Maricopa",2021-06-01
429,MZ433793,P.1,"USA: AZ, Maricopa",2021-06-01
176,MZ462301,P.1,"USA: AZ, Maricopa",2021-06-02
177,MZ462327,P.1,"USA: AZ, Maricopa",2021-06-02
179,MZ462350,P.1,"USA: AZ, Maricopa",2021-06-02
180,MZ462364,P.1,"USA: AZ, Maricopa",2021-06-02
430,MZ433797,P.1,"USA: AZ, Maricopa",2021-06-02
431,MZ433823,P.1,"USA: AZ, Maricopa",2021-06-02
433,MZ433846,P.1,"USA: AZ, Maricopa",2021-06-02
434,MZ433860,P.1,"USA: AZ, Maricopa",2021-06-02
174,MZ462295,P.1,"USA: AZ, Maricopa",2021-06-03
428,MZ433791,P.1,"USA: AZ, Maricopa",2021-06-03
171,MZ472693,P.1,"USA: AZ, Maricopa",2021-06-07
168,MZ472655,P.1,"USA: AZ, Maricopa",2021-06-10
169,MZ472680,P.1,"USA: AZ, Maricopa",2021-06-10
170,MZ472690,P.1,"USA: AZ, Maricopa",2021-06-10
10,MZ504047,P.1,"USA: AZ, Maricopa",2021-06-14
12,MZ504067,P.1,"USA: AZ, Maricopa",2021-06-15
11,MZ504055,P.1,"USA: AZ, Maricopa",2021-06-23
13,MZ504113,P.1,"USA: AZ, Maricopa",2021-06-25
14,MZ504118,P.1,"USA: AZ, Maricopa",2021-06-25
16,MZ504275,P.1,"USA: AZ, Pima",2021-05-11
427,MZ433517,P.1,"USA: AZ, Pinal",2021-05-26
178,MZ462333,P.1,"USA: AZ, Pinal",2021-06-06
432,MZ433829,P.1,"USA: AZ, Pinal",2021-06-06
4969,MZ022260,P.1,USA: Alabama,2021-03-29
5028,MZ024864,P.1,USA: Alabama,2021-03-30
4573,MZ074783,P.1,USA: Alabama,2021-04-02
3735,MZ185197,P.1,USA: Alabama,2021-04-21
311,MZ449728,P.1,USA: Alabama,2021-06-03
845,MZ386374,P.1,USA: Alabama,2021-06-03
357,MZ450608,P.1,USA: Alabama,2021-06-10
3178,MZ233596,P.1,"USA: Alaska, Anchorage-Mat Su",2021-02-08
3198,MZ233966,P.1,"USA: Alaska, Anchorage-Mat Su",2021-02-08
3058,MZ246452,P.1,"USA: Alaska, Anchorage-Mat Su",2021-02-13
3196,MZ233860,P.1,"USA: Alaska, Anchorage-Mat Su",2021-02-15
3197,MZ233890,P.1,"USA: Alaska, Anchorage-Mat Su",2021-02-15
3057,MZ245660,P.1,"USA: Alaska, Anchorage-Mat Su",2021-03-05
1338,MZ359705,P.1,"USA: Alaska, Anchorage-Mat Su",2021-04-27
1985,MZ310264,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-10
1986,MZ310285,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-11
1988,MZ310330,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-12
1989,MZ310336,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-12
1774,MZ322591,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-13
1548,MZ348490,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-17
1549,MZ348491,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-17
1775,MZ323709,P.1,"USA: Alaska, Anchorage-Mat Su",2021-05-20
471,MZ425112,P.1,"USA: Alaska, Anchorage-Mat Su",2021-06-09
470,MZ425103,P.1,"USA: Alaska, Anchorage-Mat Su",2021-06-12
8,MZ501157,P.1,"USA: Alaska, Anchorage-Mat Su",2021-06-20
3641,MZ202805,P.1,"USA: Alaska, Gulf Coast",2021-04-01
3640,MZ202368,P.1,"USA: Alaska, Gulf Coast",2021-04-02
1337,MZ359701,P.1,"USA: Alaska, Gulf Coast",2021-04-26
1990,MZ310360,P.1,"USA: Alaska, Interior",2021-05-12
1771,MZ322559,P.1,"USA: Alaska, Northern",2021-05-03
1772,MZ322560,P.1,"USA: Alaska, Northern",2021-05-05
1987,MZ310296,P.1,"USA: Alaska, Northern",2021-05-05
1773,MZ322581,P.1,"USA: Alaska, Northern",2021-05-13
3644,MZ203416,P.1,"USA: Alaska, Southeast",2021-04-29
3638,MZ202148,P.1,"USA: Alaska, Southwest",2021-03-31
4186,MZ156922,P.1,"USA: Alaska, Southwest",2021-03-31
5661,MW840402,P.1,USA: Arizona,2021-02-24
5432,MW963273,P.1,USA: Arizona,2021-03-16
5472,MW963410,P.1,USA: Arizona,2021-03-21
5480,MW963439,P.1,USA: Arizona,2021-03-29
5499,MW964542,P.1,USA: Arizona,2021-03-29
5302,MZ007148,P.1,USA: Arizona,2021-04-01
4887,MZ033203,P.1,USA: Arizona,2021-04-03
4859,MZ033043,P.1,USA: Arizona,2021-04-04
4856,MZ033040,P.1,USA: Arizona,2021-04-06
4857,MZ033041,P.1,USA: Arizona,2021-04-06
4914,MZ035824,P.1,USA: Arizona,2021-04-06
3299,MZ211314,P.1,USA: Arizona,2021-04-10
3322,MZ211832,P.1,USA: Arizona,2021-04-10
4779,MZ061340,P.1,USA: Arizona,2021-04-10
4272,MZ132933,P.1,USA: Arizona,2021-04-14
4374,MZ100991,P.1,USA: Arizona,2021-04-14
4377,MZ101069,P.1,USA: Arizona,2021-04-15
2701,MZ271159,P.1,USA: Arizona,2021-04-16
4280,MZ133052,P.1,USA: Arizona,2021-04-17
4119,MZ164490,P.1,USA: Arizona,2021-04-19
4121,MZ164493,P.1,USA: Arizona,2021-04-19
4160,MZ153873,P.1,USA: Arizona,2021-04-19
4067,MZ163795,P.1,USA: Arizona,2021-04-20
4091,MZ164429,P.1,USA: Arizona,2021-04-20
4092,MZ164431,P.1,USA: Arizona,2021-04-20
2424,MZ283254,P.1,USA: Arizona,2021-04-21
3777,MZ185887,P.1,USA: Arizona,2021-04-21
4062,MZ163605,P.1,USA: Arizona,2021-04-22
3235,MZ222470,P.1,USA: Arizona,2021-04-25
3233,MZ222467,P.1,USA: Arizona,2021-04-26
3237,MZ222472,P.1,USA: Arizona,2021-04-26
3242,MZ222482,P.1,USA: Arizona,2021-04-26
3631,MZ202055,P.1,USA: Arizona,2021-04-26
3599,MZ201395,P.1,USA: Arizona,2021-04-27
3688,MZ184449,P.1,USA: Arizona,2021-04-28
3133,MZ228144,P.1,USA: Arizona,2021-04-29
2787,MZ236865,P.1,USA: Arizona,2021-04-30
3698,MZ184705,P.1,USA: Arizona,2021-04-30
2939,MZ241033,P.1,USA: Arizona,2021-05-01
2941,MZ241037,P.1,USA: Arizona,2021-05-01
2111,MZ277935,P.1,USA: Arizona,2021-05-02
2337,MZ281879,P.1,USA: Arizona,2021-05-02
2843,MZ237799,P.1,USA: Arizona,2021-05-02
2887,MZ238763,P.1,USA: Arizona,2021-05-02
2943,MZ241039,P.1,USA: Arizona,2021-05-02
2890,MZ238801,P.1,USA: Arizona,2021-05-03
2364,MZ282230,P.1,USA: Arizona,2021-05-04
2365,MZ282235,P.1,USA: Arizona,2021-05-04
2168,MZ278804,P.1,USA: Arizona,2021-05-05
2608,MZ290662,P.1,USA: Arizona,2021-05-06
2666,MZ291371,P.1,USA: Arizona,2021-05-07
1840,MZ316119,P.1,USA: Arizona,2021-05-08
1907,MZ305375,P.1,USA: Arizona,2021-05-08
2592,MZ290344,P.1,USA: Arizona,2021-05-08
1699,MZ320529,P.1,USA: Arizona,2021-05-09
1705,MZ320537,P.1,USA: Arizona,2021-05-09
1853,MZ316272,P.1,USA: Arizona,2021-05-09
1901,MZ305368,P.1,USA: Arizona,2021-05-09
1902,MZ305369,P.1,USA: Arizona,2021-05-09
3018,MZ244851,P.1,USA: Arizona,2021-05-09
1830,MZ315989,P.1,USA: Arizona,2021-05-10
1870,MZ316533,P.1,USA: Arizona,2021-05-10
1356,MZ354327,P.1,USA: Arizona,2021-05-11
1805,MZ315579,P.1,USA: Arizona,2021-05-11
1807,MZ315586,P.1,USA: Arizona,2021-05-11
575,MZ415070,P.1,USA: Arizona,2021-05-12
576,MZ415071,P.1,USA: Arizona,2021-05-12
1364,MZ354450,P.1,USA: Arizona,2021-05-12
2032,MZ294505,P.1,USA: Arizona,2021-05-12
609,MZ415827,P.1,USA: Arizona,2021-05-13
1280,MZ356702,P.1,USA: Arizona,2021-05-15
2014,MZ294167,P.1,USA: Arizona,2021-05-15
1282,MZ356706,P.1,USA: Arizona,2021-05-16
1287,MZ356719,P.1,USA: Arizona,2021-05-16
1281,MZ356704,P.1,USA: Arizona,2021-05-17
1288,MZ356720,P.1,USA: Arizona,2021-05-17
1669,MZ319755,P.1,USA: Arizona,2021-05-18
1691,MZ320121,P.1,USA: Arizona,2021-05-21
1694,MZ320166,P.1,USA: Arizona,2021-05-21
1729,MZ320967,P.1,USA: Arizona,2021-05-21
1283,MZ356707,P.1,USA: Arizona,2021-05-23
1284,MZ356714,P.1,USA: Arizona,2021-05-23
1286,MZ356717,P.1,USA: Arizona,2021-05-23
1146,MZ372439,P.1,USA: Arizona,2021-05-25
1159,MZ372714,P.1,USA: Arizona,2021-05-26
1166,MZ372787,P.1,USA: Arizona,2021-05-26
1150,MZ372589,P.1,USA: Arizona,2021-05-27
971,MZ375930,P.1,USA: Arizona,2021-05-28
1173,MZ372878,P.1,USA: Arizona,2021-05-28
552,MZ414820,P.1,USA: Arizona,2021-05-29
555,MZ414827,P.1,USA: Arizona,2021-05-29
554,MZ414826,P.1,USA: Arizona,2021-06-02
862,MZ386524,P.1,USA: Arizona,2021-06-02
863,MZ386527,P.1,USA: Arizona,2021-06-02
873,MZ386629,P.1,USA: Arizona,2021-06-02
309,MZ449726,P.1,USA: Arizona,2021-06-04
310,MZ449727,P.1,USA: Arizona,2021-06-04
409,MZ433483,P.1,USA: Arizona,2021-06-06
410,MZ433484,P.1,USA: Arizona,2021-06-06
413,MZ433489,P.1,USA: Arizona,2021-06-06
345,MZ450492,P.1,USA: Arizona,2021-06-09
360,MZ450618,P.1,USA: Arizona,2021-06-09
5468,MW963350,P.1,USA: Arkansas,2021-03-24
3398,MZ213973,P.1,USA: Arkansas,2021-04-13
4636,MZ076769,P.1,USA: Arkansas,2021-04-13
4668,MZ076975,P.1,USA: Arkansas,2021-04-13
4204,MZ144311,P.1,USA: Arkansas,2021-04-15
3665,MZ184012,P.1,USA: Arkansas,2021-04-20
2343,MZ281956,P.1,USA: Arkansas,2021-04-30
1700,MZ320531,P.1,USA: Arkansas,2021-05-07
9,MZ501425,P.1,"USA: Birmingham, AL",2021-04-15
3490,MZ206925,P.1,USA: CA,2021-03-04
897,MZ377351,P.1,USA: CA,2021-03-16
4811,MZ056152,P.1,USA: CA,2021-03-31
4330,MZ143907,P.1,USA: CA,2021-04-02
931,MZ378023,P.1,USA: CA,2021-04-03
953,MZ378648,P.1,USA: CA,2021-04-22
954,MZ378650,P.1,USA: CA,2021-04-22
952,MZ378624,P.1,USA: CA,2021-04-23
955,MZ378684,P.1,USA: CA,2021-04-23
956,MZ378691,P.1,USA: CA,2021-04-23
958,MZ378702,P.1,USA: CA,2021-04-23
957,MZ378701,P.1,USA: CA,2021-04-24
1027,MZ376653,P.1,USA: CA,2021-04-27
2683,MZ270528,P.1,USA: CA,2021-04-28
938,MZ378217,P.1,USA: CA,2021-04-29
939,MZ378258,P.1,USA: CA,2021-04-29
941,MZ378265,P.1,USA: CA,2021-04-29
942,MZ378274,P.1,USA: CA,2021-04-29
943,MZ378275,P.1,USA: CA,2021-04-29
940,MZ378264,P.1,USA: CA,2021-04-30
1026,MZ376652,P.1,USA: CA,2021-05-02
911,MZ377580,P.1,USA: CA,2021-05-06
912,MZ377612,P.1,USA: CA,2021-05-06
921,MZ377974,P.1,USA: CA,2021-05-06
922,MZ377978,P.1,USA: CA,2021-05-06
923,MZ377979,P.1,USA: CA,2021-05-06
924,MZ377985,P.1,USA: CA,2021-05-06
925,MZ377987,P.1,USA: CA,2021-05-06
926,MZ377998,P.1,USA: CA,2021-05-06
927,MZ378002,P.1,USA: CA,2021-05-06
928,MZ378005,P.1,USA: CA,2021-05-06
929,MZ378010,P.1,USA: CA,2021-05-06
930,MZ378015,P.1,USA: CA,2021-05-06
906,MZ377512,P.1,USA: CA,2021-05-12
908,MZ377540,P.1,USA: CA,2021-05-12
909,MZ377559,P.1,USA: CA,2021-05-12
910,MZ377567,P.1,USA: CA,2021-05-12
902,MZ377477,P.1,USA: CA,2021-05-13
903,MZ377481,P.1,USA: CA,2021-05-13
907,MZ377526,P.1,USA: CA,2021-05-13
904,MZ377488,P.1,USA: CA,2021-05-14
905,MZ377491,P.1,USA: CA,2021-05-14
969,MZ375859,P.1,USA: CA,2021-05-18
207,MZ453427,P.1,USA: CA,2021-05-26
59,MZ493399,P.1,USA: CA,2021-05-27
945,MZ378515,P.1,"USA: CA, Contra Costa County",2021-03-23
944,MZ378486,P.1,"USA: CA, Contra Costa County",2021-04-05
933,MZ378077,P.1,"USA: CA, Contra Costa County",2021-04-10
932,MZ378026,P.1,"USA: CA, Contra Costa County",2021-04-18
901,MZ377468,P.1,"USA: CA, Contra Costa County",2021-04-19
900,MZ377452,P.1,"USA: CA, Contra Costa County",2021-04-21
899,MZ377439,P.1,"USA: CA, Contra Costa County",2021-04-22
898,MZ377428,P.1,"USA: CA, Contra Costa County",2021-04-24
950,MZ378581,P.1,"USA: CA, Humboldt County",2021-04-30
951,MZ378583,P.1,"USA: CA, Humboldt County",2021-04-30
947,MZ378570,P.1,"USA: CA, Humboldt County",2021-05-03
948,MZ378571,P.1,"USA: CA, Humboldt County",2021-05-03
949,MZ378580,P.1,"USA: CA, Humboldt County",2021-05-03
946,MZ378564,P.1,"USA: CA, Humboldt County",2021-05-06
935,MZ378151,P.1,"USA: CA, Humboldt County",2021-05-09
919,MZ377953,P.1,"USA: CA, Humboldt County",2021-05-13
920,MZ377954,P.1,"USA: CA, Humboldt County",2021-05-14
918,MZ377947,P.1,"USA: CA, Humboldt County",2021-05-18
915,MZ377941,P.1,"USA: CA, Humboldt County",2021-05-19
916,MZ377942,P.1,"USA: CA, Humboldt County",2021-05-19
917,MZ377943,P.1,"USA: CA, Humboldt County",2021-05-19
936,MZ378193,P.1,"USA: CA, Orange County",2021-05-03
937,MZ378195,P.1,"USA: CA, Orange County",2021-05-03
3488,MZ206656,P.1,"USA: CA, San Luis Obispo County",2021-04-07
3489,MZ206667,P.1,"USA: CA, San Luis Obispo County",2021-04-07
3487,MZ206650,P.1,"USA: CA, San Luis Obispo County",2021-04-09
914,MZ377748,P.1,"USA: CA, San Luis Obispo County",2021-04-14
913,MZ377746,P.1,"USA: CA, San Luis Obispo County",2021-04-19
934,MZ378116,P.1,"USA: CA, Santa Clara County",2021-04-15
473,MZ429110,P.1,USA: CO,2021-04-17
474,MZ429113,P.1,USA: CO,2021-04-17
1610,MZ331039,P.1,USA: CO,2021-04-17
3472,MZ206244,P.1,USA: CT,2021-04-19
71,MZ493467,P.1,USA: CT,2021-05-19
5490,MW963911,P.1,USA: California,2021-03-03
5391,MW963215,P.1,USA: California,2021-03-05
5390,MW963213,P.1,USA: California,2021-03-06
5404,MW963235,P.1,USA: California,2021-03-10
5426,MW963265,P.1,USA: California,2021-03-11
2760,MZ255969,P.1,USA: California,2021-03-12
5425,MW963264,P.1,USA: California,2021-03-16
5424,MW963263,P.1,USA: California,2021-03-17
5352,MW967312,P.1,USA: California,2021-03-18
5460,MW963318,P.1,USA: California,2021-03-20
5548,MW911865,P.1,USA: California,2021-03-20
5550,MW911953,P.1,USA: California,2021-03-20
5561,MW912312,P.1,USA: California,2021-03-20
5553,MW912118,P.1,USA: California,2021-03-21
5554,MW912124,P.1,USA: California,2021-03-21
5555,MW912172,P.1,USA: California,2021-03-21
5556,MW912186,P.1,USA: California,2021-03-21
5557,MW912219,P.1,USA: California,2021-03-21
5474,MW963415,P.1,USA: California,2021-03-22
5560,MW912308,P.1,USA: California,2021-03-22
5238,MW993475,P.1,USA: California,2021-03-23
5566,MW912449,P.1,USA: California,2021-03-24
5568,MW912493,P.1,USA: California,2021-03-24
5569,MW912507,P.1,USA: California,2021-03-24
5593,MW907027,P.1,USA: California,2021-03-24
5484,MW963478,P.1,USA: California,2021-03-25
1057,MZ368283,P.1,USA: California,2021-03-26
5475,MW963416,P.1,USA: California,2021-03-26
5481,MW963440,P.1,USA: California,2021-03-27
5191,MW990292,P.1,USA: California,2021-03-28
5315,MW965858,P.1,USA: California,2021-03-28
4966,MZ022158,P.1,USA: California,2021-03-29
4968,MZ022235,P.1,USA: California,2021-03-29
5320,MW965869,P.1,USA: California,2021-03-29
5517,MW932234,P.1,USA: California,2021-03-29
5024,MZ024548,P.1,USA: California,2021-03-30
5225,MW991025,P.1,USA: California,2021-03-31
5278,MZ003835,P.1,USA: California,2021-03-31
5296,MZ006984,P.1,USA: California,2021-03-31
5318,MW965867,P.1,USA: California,2021-03-31
5498,MW964541,P.1,USA: California,2021-03-31
1415,MZ349452,P.1,USA: California,2021-04-01
5087,MZ009701,P.1,USA: California,2021-04-01
5285,MZ006457,P.1,USA: California,2021-04-01
5316,MW965859,P.1,USA: California,2021-04-01
5322,MW965873,P.1,USA: California,2021-04-01
4567,MZ074525,P.1,USA: California,2021-04-02
5047,MZ025255,P.1,USA: California,2021-04-02
5088,MZ009708,P.1,USA: California,2021-04-02
5093,MZ009887,P.1,USA: California,2021-04-02
5478,MW963436,P.1,USA: California,2021-04-02
5504,MW964558,P.1,USA: California,2021-04-02
5135,MZ013654,P.1,USA: California,2021-04-03
4879,MZ033070,P.1,USA: California,2021-04-04
4587,MZ075177,P.1,USA: California,2021-04-05
4821,MZ046436,P.1,USA: California,2021-04-05
4827,MZ046446,P.1,USA: California,2021-04-05
4882,MZ033081,P.1,USA: California,2021-04-05
5207,MW990551,P.1,USA: California,2021-04-05
4485,MZ085080,P.1,USA: California,2021-04-06
4823,MZ046440,P.1,USA: California,2021-04-06
4902,MZ035188,P.1,USA: California,2021-04-06
4463,MZ084059,P.1,USA: California,2021-04-07
4860,MZ033045,P.1,USA: California,2021-04-07
4878,MZ033069,P.1,USA: California,2021-04-07
4484,MZ085008,P.1,USA: California,2021-04-08
4881,MZ033080,P.1,USA: California,2021-04-08
3330,MZ211990,P.1,USA: California,2021-04-09
3331,MZ211992,P.1,USA: California,2021-04-09
3337,MZ212286,P.1,USA: California,2021-04-10
3354,MZ212887,P.1,USA: California,2021-04-10
4685,MZ058130,P.1,USA: California,2021-04-10
4819,MZ046434,P.1,USA: California,2021-04-10
3267,MZ210594,P.1,USA: California,2021-04-11
3301,MZ211321,P.1,USA: California,2021-04-11
4690,MZ058135,P.1,USA: California,2021-04-11
4716,MZ059485,P.1,USA: California,2021-04-11
4793,MZ054848,P.1,USA: California,2021-04-11
4797,MZ054855,P.1,USA: California,2021-04-11
4813,MZ046426,P.1,USA: California,2021-04-11
4814,MZ046427,P.1,USA: California,2021-04-11
4815,MZ046428,P.1,USA: California,2021-04-11
4818,MZ046432,P.1,USA: California,2021-04-11
4820,MZ046435,P.1,USA: California,2021-04-11
3262,MZ210466,P.1,USA: California,2021-04-12
4237,MZ131041,P.1,USA: California,2021-04-12
4345,MZ099862,P.1,USA: California,2021-04-12
4778,MZ061291,P.1,USA: California,2021-04-12
4795,MZ054851,P.1,USA: California,2021-04-12
4796,MZ054852,P.1,USA: California,2021-04-12
541,MZ414704,P.1,USA: California,2021-04-13
3362,MZ213143,P.1,USA: California,2021-04-13
3363,MZ213144,P.1,USA: California,2021-04-13
3381,MZ213636,P.1,USA: California,2021-04-13
3402,MZ214152,P.1,USA: California,2021-04-13
3450,MZ215454,P.1,USA: California,2021-04-13
4335,MZ099845,P.1,USA: California,2021-04-13
3350,MZ212739,P.1,USA: California,2021-04-14
3440,MZ215238,P.1,USA: California,2021-04-14
4337,MZ099850,P.1,USA: California,2021-04-14
4343,MZ099858,P.1,USA: California,2021-04-14
4348,MZ099865,P.1,USA: California,2021-04-14
4658,MZ076948,P.1,USA: California,2021-04-14
4662,MZ076955,P.1,USA: California,2021-04-14
4664,MZ076957,P.1,USA: California,2021-04-14
